Corpo	Serie	Direcao	NStope	Prof	Tipo	Strike	AltDip	HwDip	RH	Ep	LGi	LUGIhw	LUGIfw	Q'	RMR	GSI	A	B	C	N'	SigmaV	Alfa	Mc/str	Mc/ton	Mc/Ahw	ICEGs	PE	FEhw	FEfw	Diluicao
10	300	2	4	317	1	34	16.7	67.4	5.9	5.1	4.7	0.9	0.8	69.4	72	76	1	0.2	5.7	87.5	8.6	7.4	1.2	0.01	0.07	0.3	2.6	0.8	0.4	13
10	300	2	3	317	1	33	15.7	75.1	5.5	3.2	5.5	1.4	1.7	34.6	70.5	74	1	0.2	6.5	43.7	8.6	16.2	2.9	0.02	0.18	0.2	2.2	0.7	0	16
16	300	1	1	237	1	78.7	12	71.1	5.5	2.4	4.9	2.5	0.1	31.9	63.3	66	1	0.2	6.1	42.2	6.4	8.2	2.1	0.04	0.17	0.6	1.7	0.2	0.4	33
8	200	2	1	438	2	19	26	70	5.6	6.8	8.6	2.3	0.1	34.6	70	63	0.7	0.2	5.9	27.8	11.8	11.6	7.2	0.02	0.26	0.6	3.5	0.5	0.1	32
16	300	1	2	227	2	37	26.4	75.7	7.8	3.3	5.8	1.8	0.3	19.7	58	60	1	0.2	6.5	25.6	6.1	11.7	0	0	0	0.4	2.8	0.5	0.4	26
7	200	1	1	476	1	35.7	17	75.8	5.9	3.1	5.6	1.4	1.5	44	66	65	0.6	0.2	6.5	35	12.9	18.2	2.9	0.03	0.17	0.2	2.2	0.7	0	23
9	300	1	1	239	1	35	16.2	58.1	6.2	2.7	5.3	4	3.1	95.9	73.7	75.7	1	0.2	4.8	92.6	6.5	10.1	5.8	0.05	0.3	0.9	1.9	0.2	0.8	49
10	300	2	1	287	2	32	19.9	71.2	6.3	4.7	6.8	1.2	0.4	14.5	48	48	1	0.2	6.1	17.5	7.7	23.2	11.6	0.08	0.55	0.8	2.9	0.4	0.7	27
2	100	1	1	395	2	37	28.5	76.8	8.2	3.7	5.8	0.4	2	59.1	66	71.3	0.8	0.2	6.6	59.7	10.7	14.5	15.8	0.09	0.54	0.5	2.4	0.4	0.3	25
19	300	1	1	438	2	24	26.4	67.7	6.5	2.6	5.3	3.6	0.1	55.8	69	70.4	0.7	0.2	5.7	43.1	11.8	19.9	7.5	0.06	0.26	0	4.5	0	0.3	51
10	300	2	2	297	2	34.5	20.3	81.2	6.4	5.5	6.3	1	1.6	58.2	71.5	74	1	0.2	7.1	82.4	8	13.8	0	0	0	0.3	3.3	0.8	0.4	10
16	300	1	1	169	1	15.5	20.7	66.2	4.6	4.4	5.1	4.2	4.5	59.86	68	66.3	1	0.2	5.6	66.7	4.6	14.1	17	0.1	0.75	0.6	1.7	0	1	14
7	200	1	2	476	1	16.6	15.6	53.9	4.5	3.1	4.8	3.2	0.9	26.9	66.5	64	0.6	0.2	4.5	14.6	12.9	19.6	35.4	0.27	1.83	0.6	3.5	0.7	0.8	33
8	200	2	1	476	1	21.5	16	68.9	4.8	6.3	5.5	3.2	1.4	14.4	67	63	0.6	0.2	5.8	10.9	12.9	8.7	3	0.01	0.17	0.4	3.2	0.1	0.3	30
1	100	2	1	476	1	25	21.1	57.9	6.2	2.8	6.6	3.5	0.2	12.6	56.7	53.7	0.6	0.3	4.8	9.4	12.9	4.6	10.8	0.09	0.43	0.6	4.7	0.4	0.4	12
8	200	2	1	428	1	14.5	17.4	69.2	4.1	2.5	5.9	4	0.3	34.2	70	70	0.7	0.2	5.9	27.8	11.6	12.3	8	0.09	0.43	0.4	1.2	0	0.4	54
17	300	2	1	237	2	35.5	24.8	77.5	7.4	3.2	5.6	1.2	0.3	38.7	71.3	69.3	1	0.2	6.7	59.5	6.4	7	1.3	0.01	0.05	0	2.9	0.4	0.4	10
17	300	2	2	237	2	63	20.3	72	8	5.2	6.9	1.9	0.9	24.3	66.5	65	1	0.2	6.1	34.7	6.4	6.8	6.4	0.03	0.3	0.2	3.6	0.8	0.5	12
9	300	1	1	355	2	46.5	24.5	75.1	8.2	5	6	1.3	0.3	42.7	68	62.7	0.9	0.2	6.5	54.1	9.6	7.2	0	0	0	0.6	3.8	0.9	0.7	8
2	100	1	1	385	1	33	10.1	83	3.9	3.9	7	2.9	0.6	58.3	72.3	69	0.8	0.3	7.3	90.6	10.4	33.6	2.8	0.06	0.27	0.3	2.2	0	0.5	23
17	300	2	1	258	1	35	14.6	76.6	5.3	2.8	5.2	2.5	0	46	70.3	64.3	1	0.2	6.6	60.8	7	29.8	4.5	0.06	0.3	0.2	2.1	0	0.6	13
9	300	1	2	405	2	24	24.9	71	6.3	5.7	5.7	2.4	2.2	39	72	66	0.7	0.2	6	35.4	10.9	9.7	21	0.07	0.8	0.7	3.5	0	0.9	9
9	300	1	1	201	1	23	9.3	54.5	3.8	3	5.1	3.8	0.5	64.4	72	72.5	1	0.2	4.5	65.7	5.4	7.4	6.5	0.15	0.57	0.1	1.7	0	0.8	16
6	200	2	1	448	1	9.8	21	77.5	3.4	5.8	8.5	4.4	1	36.4	64	65.7	0.7	0.2	6.7	32	12.1	13.5	10.4	0.05	0.48	0.3	1.5	0.3	0.5	21
