Prof	Ep	LUGIhw	Alfa	ICEGs	FEfw	Diluicao
317	5.1	0.9	7.4	0.3	0.4	13
317	3.2	1.4	16.2	0.2	0	16
237	2.4	2.5	8.2	0.6	0.4	33
438	6.8	2.3	11.6	0.6	0.1	32
227	3.3	1.8	11.7	0.4	0.4	26
476	3.1	1.4	18.2	0.2	0	23
239	2.7	4	10.1	0.9	0.8	49
287	4.7	1.2	23.2	0.8	0.7	27
395	3.7	0.4	14.5	0.5	0.3	25
438	2.6	3.6	19.9	0	0.3	51
297	5.5	1	13.8	0.3	0.4	10
169	4.4	4.2	14.1	0.6	1	14
476	3.1	3.2	19.6	0.6	0.8	33
476	6.3	3.2	8.7	0.4	0.3	30
476	2.8	3.5	4.6	0.6	0.4	12
428	2.5	4	12.3	0.4	0.4	54
237	3.2	1.2	7	0	0.4	10
237	5.2	1.9	6.8	0.2	0.5	12
355	5	1.3	7.2	0.6	0.7	8
385	3.9	2.9	33.6	0.3	0.5	23
258	2.8	2.5	29.8	0.2	0.6	13
405	5.7	2.4	9.7	0.7	0.9	9
201	3	3.8	7.4	0.1	0.8	16
448	5.8	4.4	13.5	0.3	0.5	21
428	6.6	4.7	2.4	1	1	14
395	2.3	1.8	29.2	0	0.2	49
365	4.8	1.4	22.1	0.2	0.3	20
258	4.9	0.8	9.5	0.5	0.8	19
395	4.4	2.1	13.3	0.4	0.5	8
237	2.3	2.6	13.2	0.7	0.4	27
258	7.8	1.5	7.7	0.5	0.9	10
395	2.8	2.3	6.6	0.1	0	21
201	3.9	2.3	12.1	0.8	0.4	45
395	4.3	2.9	14.6	0.7	0.9	19
428	2.3	7.9	11.7	0.6	0.6	46.3
428	6.4	2.7	28.3	0.6	0.5	32.3
395	3.3	2.7	7.7	0.7	0.7	22.8
237	1.7	3.4	2.4	0.6	0.1	34.4
201	2.9	2	15	0.8	0	12.3
237	2	2.5	9	0.2	0.6	35
395	6	2.4	20.6	0.4	0.4	32
237	2.3	1.9	7.5	0.8	0.2	18.2
340	6	0.1	10.3	0.1	0.5	13.9
456	4.3	5.4	19.1	0.8	0	25
276	3.2	1.9	13.4	0.6	0.6	20.9
365	1.7	2	7.8	0.1	0.4	9.8
365	2	3.3	22.6	0.1	0.1	22.1
426	4.2	2	10.4	0.2	0.3	20.6
192	5.8	1.7	13.1	0.3	0.6	9.4
426	6.7	1.7	8.2	0.3	0.2	9.5
258	2.3	2.6	7.8	0.3	0	30.3
276	3.1	1.8	8.3	0.7	0.2	19.7
385	5.6	0.9	15.4	0.2	0.8	11.1
340	2.8	3.3	6.8	0	0.3	20.7
496	3.1	3.5	20.2	0.9	0.5	29.9
258	2.1	2.5	6.3	0.3	0	16.1
294	4.6	0.8	7.7	0.5	0.3	14
340	3.8	2.2	11.7	0.1	0.2	13.7
258	2.2	2.2	9.2	0.3	0	27.7
276	2.3	2.7	15.1	0.4	0.8	27.6
340	3.3	2.3	17.5	0.2	0.6	8.8
276	3.2	2.4	20.8	0.3	0.2	17.2
297	1.5	2.2	6.2	0.1	0	24.8
345	3.8	3.2	13.5	0.2	0.4	8.9
267	2.2	2.4	10.5	0.5	0	34
316	3.6	1.4	16.1	0.3	0.4	8.4
294	2.2	2.8	7	0.6	0.3	10.5
258	2.2	3.7	3.1	0.1	0.5	27.7
258	2.7	2.2	10.6	0.2	1	31.3
