Prof	Ep	LUGIhw	Alfa	ICEGs	FEfw	Diluicao
438	6.8	2.3	11.6	0.6	0.1	32
476	3.1	1.4	18.2	0.2	0	23
438	2.6	3.6	19.9	0	0.3	51
476	3.1	3.2	19.6	0.6	0.8	33
476	6.3	3.2	8.7	0.4	0.3	30
476	2.8	3.5	4.6	0.6	0.4	12
428	2.5	4	12.3	0.4	0.4	54
209	2.7	0	17.3	0.8	0.1	8
201	3	3.8	7.4	0.1	0.8	16
448	5.8	4.4	13.5	0.3	0.5	21
428	6.6	4.7	2.4	1	1	14
201	3.9	2.3	12.1	0.8	0.4	45
428	2.3	7.9	11.7	0.6	0.6	46.3
428	6.4	2.7	28.3	0.6	0.5	32.3
201	2.9	2	15	0.8	0	12.3
340	6	0.1	10.3	0.1	0.5	13.9
456	4.3	5.4	19.1	0.8	0	25
192	5.8	1.7	13.1	0.3	0.6	9.4
340	2.8	3.3	6.8	0	0.3	20.7
496	3.1	3.5	20.2	0.9	0.5	29.9
340	3.8	2.2	11.7	0.1	0.2	13.7
340	3.3	2.3	17.5	0.2	0.6	8.8
