Prof	Ep	LUGIhw	Alfa	ICEGs	FEfw	Diluicao
237	2.4	2.5	8.2	0.6	0.4	33
227	3.3	1.8	11.7	0.4	0.4	26
169	4.4	4.2	14.1	0.6	1	14
237	3.2	1.2	7	0	0.4	10
237	5.2	1.9	6.8	0.2	0.5	12
258	2.8	2.5	29.8	0.2	0.6	13
258	4.9	0.8	9.5	0.5	0.8	19
237	2.3	2.6	13.2	0.7	0.4	27
258	7.8	1.5	7.7	0.5	0.9	10
237	1.7	3.4	2.4	0.6	0.1	34.4
237	2	2.5	9	0.2	0.6	35
258	2.2	3.7	3.1	0.1	0.5	27.7
237	2.3	1.9	7.5	0.8	0.2	18.2
276	3.2	1.9	13.4	0.6	0.6	20.9
258	2.7	2.2	10.6	0.2	1	31.3
258	2.3	2.6	7.8	0.3	0	30.3
276	3.1	1.8	8.3	0.7	0.2	19.7
258	2.1	2.5	6.3	0.3	0	16.1
294	4.6	0.8	7.7	0.5	0.3	14
258	2.2	2.2	9.2	0.3	0	27.7
276	2.3	2.7	15.1	0.4	0.8	27.6
276	3.2	2.4	20.8	0.3	0.2	17.2
267	2.2	2.4	10.5	0.5	0	34
316	3.6	1.4	16.1	0.3	0.4	8.4
294	2.2	2.8	7	0.6	0.3	10.5
