Prof	Ep	LUGIhw	Alfa	ICEGs	FEfw	Diluicao
317	5.1	0.9	7.4	0.3	0.4	13
317	3.2	1.4	16.2	0.2	0	16
239	2.7	4	10.1	0.9	0.8	49
287	4.7	1.2	23.2	0.8	0.7	27
395	3.7	0.4	14.5	0.5	0.3	25
297	5.5	1	13.8	0.3	0.4	10
355	5	1.3	7.2	0.6	0.7	8
385	3.9	2.9	33.6	0.3	0.5	23
405	5.7	2.4	9.7	0.7	0.9	9
395	2.3	1.8	29.2	0	0.2	49
365	4.8	1.4	22.1	0.2	0.3	20
395	4.4	2.1	13.3	0.4	0.5	8
395	2.8	2.3	6.6	0.1	0	21
395	4.3	2.9	14.6	0.7	0.9	19
395	3.3	2.7	7.7	0.7	0.7	22.8
395	6	2.4	20.6	0.4	0.4	32
365	1.7	2	7.8	0.1	0.4	9.8
365	2	3.3	22.6	0.1	0.1	22.1
426	4.2	2	10.4	0.2	0.3	20.6
426	6.7	1.7	8.2	0.3	0.2	9.5
385	5.6	0.9	15.4	0.2	0.8	11.1
297	1.5	2.2	6.2	0.1	0	24.8
345	3.8	3.2	13.5	0.2	0.4	8.9
